 4.683  5.728  3.000228e+04
 4.671  5.754  4.816366e+05
 4.659  5.789  1.041983e+06
 4.644  5.821  1.531209e+06
 4.623  5.849  1.965842e+06
 4.594  5.876  2.353233e+06
 4.553  5.900  2.693381e+06
 4.498  5.916  2.917123e+06
 4.410  5.933  3.130306e+06
 4.316  5.945  3.256937e+06
 4.028  5.968  3.440502e+06
 4.049  5.976  3.445769e+06
 4.078  5.987  3.446927e+06
 4.141  5.993  3.447791e+06
 4.098  5.991  3.448902e+06
 4.038  5.987  3.449538e+06
 3.984  5.982  3.449908e+06
 3.924  5.980  3.450120e+06
 3.856  5.975  3.450385e+06
 3.804  5.972  3.451828e+06
 3.781  6.052  3.453702e+06
 4.284  6.087  3.463966e+06
 4.306  6.081  3.479551e+06
 4.311  6.078  3.492567e+06
 4.356  6.073  3.506461e+06
 4.411  6.064  3.520396e+06
 4.464  6.050  3.535150e+06
 4.522  6.026  3.550724e+06
 4.565  5.998  3.566298e+06
 4.585  5.989  3.581872e+06
 4.648  5.986  3.597445e+06
 4.424  5.977  3.605019e+06
 4.381  5.909  3.620757e+06
 4.464  5.713  3.652694e+06
 4.503  5.612  3.675315e+06
 4.536  5.524  3.699992e+06
 4.563  5.446  3.725902e+06
 4.590  5.372  3.755648e+06
 4.615  5.302  3.789240e+06
 4.643  5.236  3.828442e+06
 4.656  5.211  3.846452e+06
 4.674  5.192  3.865711e+06
 4.709  5.222  3.876997e+06
 4.758  5.295  3.881468e+06
 4.775  5.333  3.885077e+06
 4.780  5.361  3.885950e+06
 4.783  5.370  3.886082e+06
 4.784  5.372  3.886098e+06
 4.785  5.373  3.886108e+06
 4.786  5.375  3.886120e+06
 4.794  5.384  3.886141e+06
 4.213  6.081  3.465304e+06
 4.247  6.075  3.479138e+06
 4.306  6.063  3.492651e+06
 4.402  6.037  3.506837e+06
 4.484  5.975  3.522313e+06
 4.279  5.948  3.541014e+06
 4.252  5.842  3.550132e+06
 4.372  5.543  3.576131e+06
 4.425  5.371  3.599345e+06
 4.465  5.234  3.623488e+06
 4.497  5.110  3.651344e+06
 4.522  5.001  3.681058e+06
 4.544  4.900  3.714487e+06
 4.562  4.805  3.751629e+06
 4.579  4.717  3.791762e+06
 4.595  4.629  3.838951e+06
 4.610  4.546  3.890635e+06
 4.625  4.463  3.951397e+06
 4.645  4.373  4.029510e+06
 4.654  4.339  4.064749e+06
 4.670  4.309  4.105704e+06
 4.709  4.355  4.129662e+06
 4.760  4.512  4.146384e+06
 4.776  4.681  4.160874e+06
 4.761  4.777  4.167892e+06
 4.744  4.804  4.169721e+06
 4.733  4.819  4.170480e+06
 4.723  4.837  4.171156e+06
 4.719  4.845  4.171526e+06
 4.708  4.858  4.172452e+06
 4.718  5.694  2.000152e+04
 4.711  5.751  9.260704e+05
 4.703  5.787  1.455311e+06
 4.691  5.822  1.932019e+06
 4.675  5.855  2.344826e+06
 4.655  5.885  2.694125e+06
 4.627  5.914  3.011669e+06
 4.598  5.934  3.218073e+06
 4.562  5.955  3.418244e+06
 4.532  5.968  3.539372e+06
 4.497  5.986  3.683718e+06
 4.521  5.998  3.713319e+06
 4.540  6.006  3.714768e+06
 4.556  6.013  3.716299e+06
 4.492  6.029  3.718872e+06
 4.433  6.036  3.719994e+06
 4.356  6.045  3.721191e+06
 4.291  6.052  3.722148e+06
 4.215  6.062  3.723405e+06
 4.151  6.069  3.724912e+06
 4.118  6.073  3.726280e+06
 4.087  6.076  3.733535e+06
 4.076  6.076  3.746096e+06
 4.061  6.076  3.759282e+06
 4.043  6.077  3.771986e+06
 4.020  6.077  3.785883e+06
 3.996  6.078  3.799048e+06
 3.962  6.078  3.813676e+06
 3.923  6.078  3.827573e+06
 3.884  6.078  3.841954e+06
 3.880  6.077  3.857275e+06
 3.914  6.077  3.874743e+06
 3.951  6.078  3.891152e+06
 3.951  6.078  3.908795e+06
 3.963  6.079  3.927418e+06
 3.988  6.080  3.948001e+06
 3.992  6.080  3.968932e+06
 3.962  6.082  3.991625e+06
 3.981  6.083  4.016479e+06
 3.936  6.084  4.049880e+06
 3.906  6.084  4.061716e+06
 3.918  6.085  4.075728e+06
 3.890  6.085  4.081399e+06
