
Mo,Zo,Age,Mass,logL,logTe
 85.00,0.020, 7.825845e+05, 83.6364, 6.051, 4.682
 85.00,0.020, 1.184920e+06, 82.3445, 6.075, 4.665
 85.00,0.020, 1.549164e+06, 80.4603, 6.096, 4.642
 85.00,0.020, 1.881269e+06, 77.6108, 6.114, 4.603
 85.00,0.020, 2.171486e+06, 73.5285, 6.129, 4.540
 85.00,0.020, 2.370963e+06, 69.8029, 6.142, 4.475
 85.00,0.020, 2.554692e+06, 66.1133, 6.157, 4.438
 85.00,0.020, 2.666320e+06, 63.8211, 6.168, 4.417
 85.00,0.020, 2.775285e+06, 61.5851, 6.181, 4.382
 85.00,0.020, 2.822112e+06, 60.5859, 6.199, 4.446
 85.00,0.020, 2.822791e+06, 60.5692, 6.206, 4.478
 85.00,0.020, 2.823866e+06, 60.5412, 6.217, 4.524
 85.00,0.020, 2.825449e+06, 60.4992, 6.217, 4.454
 85.00,0.020, 2.825982e+06, 60.4863, 6.219, 4.371
 85.00,0.020, 2.826354e+06, 60.4782, 6.222, 4.287
 85.00,0.020, 2.826674e+06, 60.4701, 6.224, 4.182
 85.00,0.020, 2.829604e+06, 51.9462, 6.271, 4.253
 85.00,0.020, 2.833490e+06, 51.7907, 6.290, 4.014
 85.00,0.020, 2.834666e+06, 51.6040, 6.295, 4.365
 85.00,0.020, 2.841828e+06, 51.3175, 6.297, 4.338
 85.00,0.020, 2.853976e+06, 50.8316, 6.297, 4.344
 85.00,0.020, 2.865485e+06, 50.3712, 6.297, 4.349
 85.00,0.020, 2.877634e+06, 49.8853, 6.296, 4.364
 85.00,0.020, 2.889782e+06, 49.3993, 6.294, 4.378
 85.00,0.020, 2.902570e+06, 48.8878, 6.293, 4.402
 85.00,0.020, 2.915358e+06, 48.3763, 6.289, 4.428
 85.00,0.020, 2.928846e+06, 47.8367, 6.284, 4.456
 85.00,0.020, 2.942695e+06, 47.2828, 6.278, 4.485
 85.00,0.020, 2.957698e+06, 46.6826, 6.268, 4.522
 85.00,0.020, 2.973856e+06, 46.0363, 6.260, 4.564
 85.00,0.020, 2.992164e+06, 45.3039, 6.261, 4.675
 85.00,0.020, 3.005089e+06, 44.1537, 6.241, 4.316
 85.00,0.020, 3.030896e+06, 26.4546, 5.943, 4.373
 85.00,0.020, 3.053597e+06, 20.4545, 5.784, 4.447
 85.00,0.020, 3.077433e+06, 16.8743, 5.663, 4.497
 85.00,0.020, 3.104675e+06, 14.2711, 5.557, 4.538
 85.00,0.020, 3.135004e+06, 12.3181, 5.464, 4.574
 85.00,0.020, 3.169340e+06, 10.7642, 5.381, 4.608
 85.00,0.020, 3.186988e+06, 10.1382, 5.346, 4.625
 85.00,0.020, 3.204342e+06,  9.6049, 5.320, 4.645
 85.00,0.020, 3.221556e+06,  9.1414, 5.341, 4.693
 85.00,0.020, 3.224754e+06,  9.0614, 5.393, 4.729
 85.00,0.020, 3.227386e+06,  8.9969, 5.426, 4.753
 85.00,0.020, 3.228195e+06,  8.9773, 5.455, 4.762
 85.00,0.020, 3.228269e+06,  8.9755, 5.471, 4.769
 85.00,0.020, 3.228276e+06,  8.9754, 5.474, 4.772
 85.00,0.020, 3.228280e+06,  8.9753, 5.476, 4.772
 85.00,0.020, 3.228284e+06,  8.9752, 5.479, 4.774
 85.00,0.020, 3.228290e+06,  8.9750, 5.506, 4.779
 85.00,0.020, 2.833797e+06, 51.6853, 6.299, 4.281
 85.00,0.020, 2.841743e+06, 51.0496, 6.295, 4.269
 85.00,0.020, 2.854422e+06, 50.0353, 6.293, 4.279
 85.00,0.020, 2.865608e+06, 49.1403, 6.289, 4.301
 85.00,0.020, 2.877541e+06, 48.1857, 6.284, 4.328
 85.00,0.020, 2.890220e+06, 47.1714, 6.276, 4.368
 85.00,0.020, 2.903392e+06, 46.1176, 6.260, 4.424
 85.00,0.020, 2.917370e+06, 44.9993, 6.236, 4.489
 85.00,0.020, 2.939570e+06, 43.2233, 6.218, 4.155
 85.00,0.020, 2.940804e+06, 41.2964, 6.183, 4.099
 85.00,0.020, 2.976053e+06, 16.7035, 5.612, 4.363
 85.00,0.020, 2.999676e+06, 12.7846, 5.423, 4.430
 85.00,0.020, 3.024688e+06, 10.4778, 5.277, 4.474
 85.00,0.020, 3.052479e+06,  8.8613, 5.150, 4.507
 85.00,0.020, 3.083050e+06,  7.6613, 5.038, 4.534
 85.00,0.020, 3.117080e+06,  6.7145, 4.935, 4.556
 85.00,0.020, 3.157003e+06,  5.9121, 4.835, 4.578
 85.00,0.020, 3.202937e+06,  5.2361, 4.738, 4.597
 85.00,0.020, 3.254085e+06,  4.6751, 4.649, 4.616
 85.00,0.020, 3.319639e+06,  4.1398, 4.554, 4.638
